target_id,rank,priority_class,priority_score,ssi,local_mean_ssi_2km,known_objects_3km,nearest_known_km,distance_almaty_km,latitude,longitude
T01,1,Критический приоритет,99.9618439685753,99.97360834788256,99.92119792413293,11,0.7249635651762184,59.0872186719961,43.33441482344209,77.60588242128513
T02,2,Критический приоритет,99.53270203286155,99.50464899102684,99.35048362598926,11,0.5876828400581755,20.158756895400487,43.112684619577145,76.71152769845943
T03,3,Критический приоритет,98.5461804194657,99.91067440821796,99.86315286194059,10,1.9228083238571785,56.43674547101962,43.32611759825788,77.57469407567565
T04,4,Критический приоритет,98.51826824359205,99.88225262901456,99.82221887090132,10,0.517453719872015,60.185737127448114,43.316001667782594,77.6235918718693
T05,5,Критический приоритет,98.1640752853986,99.49855860976898,99.34501471220669,10,0.2509164776710083,17.079479879226806,43.12103387834094,76.75478408482365
T06,6,Критический приоритет,98.16059299597869,99.50058873685492,99.32968518114947,10,0.9870369130706013,60.309907202936635,43.29337233983405,77.6287815644253
T07,7,Критический приоритет,97.76047773447762,99.02756912582728,98.8631702630299,10,0.0653260579264154,15.214473253862936,43.12505880215478,76.78563228352523
T08,8,Критический приоритет,97.22838763992341,98.42056112712656,98.20238461213386,10,1.4274519964654022,8.826102529746237,43.234099131177125,76.99817059582068
T09,9,Критический приоритет,96.65039388608585,99.32599780746276,99.1612260641802,9,0.1292228481950438,54.318699416031606,43.34030083418172,77.54445308830071
T10,10,Критический приоритет,96.46896474290719,99.12907548012504,98.91748652037046,9,1.335656364278555,17.340515880623766,43.13490937239086,76.73059041845497
